Step,Test #,Start Time,End Time,Duration
DiscoverService,137,1470311047163,1470311048223,1060
DiscoverService,138,1470311048249,1470311048722,473
DiscoverService,139,1470311048760,1470311049344,584
DiscoverService,140,1470311049362,1470311049793,431
DiscoverService,141,1470311049815,1470311050293,478
DiscoverService,142,1470311050319,1470311050872,553
DiscoverService,143,1470311050897,1470311051381,484
DiscoverService,144,1470311051410,1470311051852,442
DiscoverService,145,1470311051874,1470311052754,880
DiscoverService,146,1470311052769,1470311054259,1490
DiscoverService,147,1470311054288,1470311054857,569
DiscoverService,148,1470311054877,1470311055902,1025
DiscoverService,149,1470311055916,1470311056467,551
DiscoverService,150,1470311056497,1470311057074,577
DiscoverService,151,1470311057094,1470311057501,407
DiscoverService,152,1470311057522,1470311058946,1424
DiscoverService,153,1470311058990,1470311059549,559
DiscoverService,154,1470311059592,1470311060686,1094
DiscoverService,155,1470311060733,1470311061113,380
DiscoverService,156,1470311061145,1470311061969,824
DiscoverService,157,1470311061991,1470311062876,885
DiscoverService,158,1470311062896,1470311065080,2184
DiscoverService,159,1470311065127,1470311066853,1726
DiscoverService,160,1470311066883,1470311067985,1102
DiscoverService,161,1470311068001,1470311068594,593
DiscoverService,162,1470311068614,1470311069126,512
DiscoverService,163,1470311069154,1470311069603,449
DiscoverService,164,1470311069636,1470311070636,1000
DiscoverService,165,1470311070669,1470311071526,857
DiscoverService,166,1470311071546,1470311072503,957
DiscoverService,167,1470311072523,1470311073628,1105
DiscoverService,168,1470311073668,1470311074289,621
DiscoverService,169,1470311074310,1470311074885,575
DiscoverService,170,1470311074899,1470311075410,511
DiscoverService,171,1470311075428,1470311075948,520
DiscoverService,172,1470311075979,1470311078767,2788
DiscoverService,173,1470311078780,1470311079294,514
DiscoverService,174,1470311079314,1470311079901,587
DiscoverService,175,1470311079915,1470311080779,864
DiscoverService,176,1470311080827,1470311081514,687
DiscoverService,177,1470311081544,1470311082137,593
DiscoverService,178,1470311082160,1470311083128,968
DiscoverService,179,1470311083154,1470311083696,542
DiscoverService,180,1470311083742,1470311084270,528
DiscoverService,181,1470311084316,1470311084940,624
